from_to,area_m2,year_from,year_to,area_km2,pct_of_area,from_class,to_class
1111,130393.03235294117,2016,2017,0.13039303235294117,0.008667959035447648,11,11
1209,258920.68584558825,2016,2017,0.25892068584558825,0.01721191583507909,12,9
1210,3715140.484375,2016,2017,3.715140484375,0.24696630600882916,12,10
1212,514390409.2565564,2016,2017,514.3904092565564,34.19442676656495,12,12
1313,902384212.0928305,2016,2017,902.3842120928306,59.986559431209706,13,13
712,54049.00091911765,2017,2018,0.05404900091911765,0.003592941412741189,7,12
909,23044540.97720588,2017,2018,23.04454097720588,1.5319003905089386,9,9
910,1471024.2292279413,2017,2018,1.4710242292279412,0.09778726308462245,9,10
912,1759152.3881740198,2017,2018,1.7591523881740196,0.11694076410869172,9,12
1009,218760.609375,2017,2018,0.218760609375,0.014542249431698972,10,9
1010,45684102.40055147,2017,2018,45.68410240055147,3.0368795098447885,10,10
1011,2574.0845588235293,2017,2018,0.0025740845588235295,0.00017111389394847067,10,11
1012,2757708.391727941,2017,2018,2.7577083917279412,0.18332040401136382,10,12
1013,874033.546875,2017,2018,0.874033546875,0.05810193108641685,10,13
1111,130393.03235294117,2017,2018,0.13039303235294117,0.008667959035447648,11,11
1209,1310958.1875,2017,2018,1.3109581875,0.08714677204282674,12,9
1210,4806499.703125,2017,2018,4.806499703125,0.3195150981519376,12,10
1212,517344527.1810662,2017,2018,517.3445271810663,34.390803618099646,12,12
1213,218255.625,2017,2018,0.218255625,0.014508680276989898,12,13
1313,902384212.0928305,2017,2018,902.3842120928306,59.986559431209706,13,13
909,19766932.44595588,2018,2019,19.76693244595588,1.3140192969378535,9,9
910,2185275.515625,2018,2019,2.185275515625,0.14526756766675483,9,10
912,2403879.203125,2018,2019,2.403879203125,0.1597993856178776,9,12
913,218172.609375,2018,2019,0.218172609375,0.014503161760978597,9,13
1009,1071055.8799632352,2018,2019,1.0710558799632353,0.07119911489647357,10,9
1010,49361917.81231618,2018,2019,49.36191781231618,3.2813646081192553,10,10
1012,873655.5625,2018,2019,0.8736555625,0.05807680433677834,10,12
1013,654997.078125,2018,2019,0.654997078125,0.04354134372884181,10,13
1111,132967.1169117647,2018,2019,0.1329671169117647,0.008839072929396117,11,11
1209,2404453.375,2018,2019,2.404453375,0.15983755405527025,12,9
1210,13556790.923529413,2018,2019,13.556790923529412,0.901196223884204,12,10
1212,505736001.6008578,2018,2019,505.7360016008578,33.619119561248866,12,12
1213,218191.0625,2018,2019,0.2181910625,0.01450438844409724,12,13
1313,903476501.2647055,2018,2019,903.4765012647056,60.059170042573115,13,13
909,20921257.771139704,2019,2020,20.921257771139704,1.3907538007048215,9,9
910,437585.171875,2019,2020,0.437585171875,0.029088750187703287,9,10
912,1883598.7579044118,2019,2020,1.8835987579044118,0.1252134149970724,9,12
1009,4323284.085232843,2019,2020,4.323284085232843,0.2873930352963048,10,9
1010,52529777.37953431,2019,2020,52.52977737953431,3.491950070112143,10,10
1012,7377220.427328431,2019,2020,7.377220427328431,0.49040537907321746,10,12
1013,873702.359375,2019,2020,0.873702359375,0.058079915188548305,10,13
1111,132967.1169117647,2019,2020,0.1329671169117647,0.008839072929396117,11,11
1209,2909190.400735294,2019,2020,2.909190400735294,0.19339026606602466,12,9
1210,3716115.375,2019,2020,3.716115375,0.24703111247777196,12,10
1212,502169965.74699754,2019,2020,502.16996574699755,33.38206507956052,12,12
1213,218264.84375,2019,2020,0.21826484375,0.014509293099208356,12,13
1313,904567862.0147055,2019,2020,904.5678620147055,60.13171893650704,13,13
909,21156436.86648284,2020,2021,21.15643686648284,1.4063874793427273,9,9
910,3060650.625,2020,2021,3.060650625,0.20345867996618325,9,10
912,3936644.765625,2020,2021,3.936644765625,0.2616909427582403,9,12
1009,2843790.5625,2020,2021,2.8437905625,0.18904277058625069,10,9
1010,43614799.245343134,2020,2021,43.614799245343136,2.899321277954618,10,10
1012,8913151.415441176,2020,2021,8.913151415441176,0.5925073598769149,10,12
1013,1311736.703125,2020,2021,1.311736703125,0.08719852435983468,10,13
1110,130393.03235294117,2020,2021,0.13039303235294117,0.008667959035447648,11,10
1111,2574.0845588235293,2020,2021,0.0025740845588235295,0.00017111389394847067,11,11
1209,1580898.072242647,2020,2021,1.580898072242647,0.10509119607193741,12,9
1210,1966717.84375,2020,2021,1.96671784375,0.13073880863331577,12,10
1212,507664996.40686274,2020,2021,507.6649964068627,33.74735070716458,12,12
1213,218172.609375,2020,2021,0.218172609375,0.014503161760978597,12,13
1313,905659829.2178305,2020,2021,905.6598292178305,60.204308144794794,13,13
